Store,DayOfWeek,Sales,Promo,SchoolHoliday,CompetitionDistance,CompetitionOpenSinceMonth,CompetitionOpenSinceYear,Promo2,Promo2SinceWeek,Promo2SinceYear,Ano,Dia,SemanaDoAno,FimDeSemana,Promo2Ativa,StoreType_b,StoreType_c,StoreType_d,Assortment_b,Assortment_c,StateHoliday_a,StateHoliday_b,StateHoliday_c
1,5,5263,1,1,1270.0,9.0,2008.0,0,0.0,0.0,2015,31,31,0,0,False,True,False,False,False,False,False,False
2,5,6064,1,1,570.0,11.0,2007.0,1,13.0,2010.0,2015,31,31,0,1,False,False,False,False,False,False,False,False
3,5,8314,1,1,14130.0,12.0,2006.0,1,14.0,2011.0,2015,31,31,0,1,False,False,False,False,False,False,False,False
4,5,13995,1,1,620.0,9.0,2009.0,0,0.0,0.0,2015,31,31,0,0,False,True,False,False,True,False,False,False
5,5,4822,1,1,29910.0,4.0,2015.0,0,0.0,0.0,2015,31,31,0,0,False,False,False,False,False,False,False,False
6,5,5651,1,1,310.0,12.0,2013.0,0,0.0,0.0,2015,31,31,0,0,False,False,False,False,False,False,False,False
7,5,15344,1,1,24000.0,4.0,2013.0,0,0.0,0.0,2015,31,31,0,0,False,False,False,False,True,False,False,False
8,5,8492,1,1,7520.0,10.0,2014.0,0,0.0,0.0,2015,31,31,0,0,False,False,False,False,False,False,False,False
9,5,8565,1,1,2030.0,8.0,2000.0,0,0.0,0.0,2015,31,31,0,0,False,False,False,False,True,False,False,False
10,5,7185,1,1,3160.0,9.0,2009.0,0,0.0,0.0,2015,31,31,0,0,False,False,False,False,False,False,False,False
11,5,10457,1,1,960.0,11.0,2011.0,1,1.0,2012.0,2015,31,31,0,1,False,False,False,False,True,False,False,False
12,5,8959,1,1,1070.0,0.0,0.0,1,13.0,2010.0,2015,31,31,0,1,False,False,False,False,True,False,False,False
13,5,8821,1,0,310.0,0.0,0.0,1,45.0,2009.0,2015,31,31,0,0,False,False,True,False,False,False,False,False
14,5,6544,1,1,1300.0,3.0,2014.0,1,40.0,2011.0,2015,31,31,0,1,False,False,False,False,False,False,False,False
15,5,9191,1,1,4110.0,3.0,2010.0,1,14.0,2011.0,2015,31,31,0,1,False,False,True,False,True,False,False,False
